Game_Number,XGID,Move,ND/NDR,DT/RDT,DD/RDD
5,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:3:0:8,,,,
5,XGID=-b----E-C---eE---c-e----B-:0:0:1:62:0:0:3:0:8,24/18 13/11,,,
5,XGID=-b----E-C--AeD---cAe----A-:0:0:-1:41:0:0:3:0:8,13/9 8/7*,,,
5,XGID=-b----E-C--AdD--abae----AA:0:0:1:63:0:0:3:0:8,Bar/16*,,,
5,XGID=ab----E-C--AdD--Abae----A-:0:0:-1:32:0:0:3:0:8,Bar/22 24/22,,,
5,XGID=-a-b--E-C--AdD--Abae----A-:0:0:1:00:0:0:3:0:8,,0.333,0.206,1.0
5,XGID=-a-b--E-C--AdD--Abae----A-:0:0:1:52:0:0:3:0:8,16/11 13/11,,,
5,XGID=-a-b--E-C--CdC---bae----A-:0:0:-1:43:0:0:3:0:8,7/3 6/3,,,
5,XGID=-a-b--E-C--CdC---b-d--b-A-:0:0:1:00:0:0:3:0:8,,0.341,0.192,1.0
5,XGID=-a-b--E-C--CdC---b-d--b-A-:0:0:1:32:0:0:3:0:8,24/21 13/11,,,
5,XGID=-a-b--E-C--DdB---b-d-Ab---:0:0:-1:53:0:0:3:0:8,13/5,,,
5,XGID=-a-b--E-C--DcB---b-daAb---:0:0:1:00:0:0:3:0:8,,0.354,0.202,1.0
5,XGID=-a-b--E-C--DcB---b-daAb---:0:0:1:53:0:0:3:0:8,21/13,,,
5,XGID=-a-b--E-C--DcC---b-da-b---:0:0:-1:62:0:0:3:0:8,13/7 6/4,,,
5,XGID=-a-b--E-C--DbC---bacaab---:0:0:1:00:0:0:3:0:8,,0.448,0.321,1.0
5,XGID=-a-b--E-C--DbC---bacaab---:0:0:1:51:0:0:3:0:8,13/8 11/10,,,
5,XGID=-a-b--E-D-ACbB---bacaab---:0:0:-1:32:0:0:3:0:8,8/5 6/4,,,
5,XGID=-a-b--E-D-ACbB---aabbbb---:0:0:1:00:0:0:3:0:8,,0.493,0.373,1.0
5,XGID=-a-b--E-D-ACbB---aabbbb---:0:0:1:42:0:0:3:0:8,8/4 6/4,,,
5,XGID=-a-bB-D-C-ACbB---aabbbb---:0:0:-1:32:0:0:3:0:8,7/2,,,
5,XGID=-a-bB-D-C-ACbB---a-bbbba--:0:0:1:00:0:0:3:0:8,,0.758,0.749,1.0
5,XGID=-a-bB-D-C-ACbB---a-bbbba--:0:0:1:53:0:0:3:0:8,10/5 8/5,,,
5,XGID=-a-bBBD-B--CbB---a-bbbba--:0:0:-1:42:0:0:3:0:8,8/2,,,
5,XGID=-a-bBBD-B--CbB-----bbbbb--:1:-1:1:D:0:0:3:0:8,,0.848,0.921,1.0
5,XGID=-a-bBBD-B--CbB-----bbbbb--:1:-1:1:63:0:0:3:0:8,11/8 11/5,,,
5,XGID=-a-bBCD-C--AbB-----bbbbb--:1:-1:-1:22:0:0:3:0:8,24/22 13/11 13/9,,,
5,XGID=---cBCD-C--A-Ba-a--bbbbb--:1:-1:1:65:0:0:3:0:8,13/8 11/5,,,
5,XGID=---cBDD-D----Aa-a--bbbbb--:1:-1:-1:52:0:0:3:0:8,11/6 9/7,,,
